"Name","Type_1","Type_2","Total","HP","Attack","Defense","Sp_Atk","Sp_Def","Speed","Generation","isLegendary","Color","hasGender","Pr_Male","Egg_Group_1","Egg_Group_2","hasMegaEvolution","Height_m","Weight_kg","Catch_Rate","Body_Style","Cluster"
"Bulbasaur","Grass","Poison",0.32999999999999996,0.3657718120805369,0.34750000000000003,0.37310344827586206,0.4535714285714286,0.4115384615384615,0.34827586206896555,0.1,"False","Green","True",0.8875,"Monster","Grass","False",0.71,6.9,45,"quadruped","cluster_2"
"Ivysaur","Grass","Poison",0.475,0.4563758389261745,0.4206250000000001,0.45999999999999996,0.5499999999999999,0.5153846153846154,0.4413793103448276,0.1,"False","Green","True",0.8875,"Monster","Grass","False",0.99,13.0,45,"quadruped","cluster_2"
"Venusaur","Grass","Poison",0.675,0.5771812080536912,0.5331250000000001,0.5841379310344827,0.6785714285714285,0.6538461538461539,0.5655172413793104,0.1,"False","Green","True",0.8875,"Monster","Grass","True",2.01,100.0,45,"quadruped","cluster_2"
"Charmander","Fire",,0.31499999999999995,0.32953020134228184,0.36437500000000006,0.3358620689655172,0.4214285714285715,0.3076923076923077,0.4724137931034482,0.1,"False","Red","True",0.8875,"Monster","Dragon","False",0.61,8.5,45,"bipedal_tailed","cluster_2"
"Charmeleon","Fire",,0.475,0.4442953020134228,0.43187500000000006,0.4289655172413793,0.5499999999999999,0.4115384615384615,0.5655172413793104,0.1,"False","Red","True",0.8875,"Monster","Dragon","False",1.09,19.0,45,"bipedal_tailed","cluster_2"
"Charizard","Fire","Flying",0.69,0.5651006711409395,0.544375,0.553103448275862,0.7364285714285714,0.55,0.6896551724137931,0.1,"False","Red","True",0.8875,"Monster","Dragon","True",1.7,90.5,45,"bipedal_tailed","cluster_2"
"Squirtle","Water",,0.32333333333333325,0.35973154362416104,0.34187500000000004,0.4724137931034482,0.3571428571428571,0.4046153846153846,0.3358620689655172,0.1,"False","Blue","True",0.8875,"Monster","Water_1","False",0.51,9.0,45,"bipedal_tailed","cluster_2"
"Wartortle","Water",,0.475,0.45033557046979866,0.4262500000000001,0.5655172413793104,0.4535714285714286,0.5153846153846154,0.4289655172413793,0.1,"False","Blue","True",0.8875,"Monster","Water_1","False",0.99,22.5,45,"bipedal_tailed","cluster_2"
"Blastoise","Water",,0.6833333333333333,0.5711409395973154,0.5387500000000001,0.6896551724137931,0.5821428571428571,0.6884615384615385,0.553103448275862,0.1,"False","Blue","True",0.8875,"Monster","Water_1","True",1.6,85.5,45,"bipedal_tailed","cluster_2"
"Caterpie","Bug",,0.12499999999999997,0.3657718120805369,0.24062500000000003,0.28620689655172415,0.16428571428571428,0.1,0.34827586206896555,0.1,"False","Green","True",0.55,"Bug",,"False",0.3,2.9,255,"insectoid","cluster_1"
"Metapod","Bug",,0.14166666666666664,0.3959731543624161,0.184375,0.41034482758620683,0.19642857142857142,0.1346153846153846,0.2551724137931034,0.1,"False","Green","True",0.55,"Bug",,"False",0.71,9.9,120,"serpentine_body","cluster_1"
"Butterfree","Bug","Flying",0.45833333333333326,0.4563758389261745,0.32500000000000007,0.3793103448275862,0.6142857142857142,0.5153846153846154,0.503448275862069,0.1,"False","White","True",0.55,"Bug",,"False",1.09,32.0,45,"four_wings","cluster_2"
"Weedle","Bug","Poison",0.12499999999999997,0.3355704697986577,0.26875000000000004,0.2551724137931034,0.16428571428571428,0.1,0.3793103448275862,0.1,"False","Brown","True",0.55,"Bug",,"False",0.3,3.2,255,"serpentine_body","cluster_1"
"Kakuna","Bug","Poison",0.14166666666666664,0.3657718120805369,0.21250000000000002,0.3793103448275862,0.19642857142857142,0.1346153846153846,0.28620689655172415,0.1,"False","Yellow","True",0.55,"Bug",,"False",0.61,10.0,120,"serpentine_body","cluster_1"
"Beedrill","Bug","Poison",0.45833333333333326,0.4865771812080537,0.5781250000000001,0.3172413793103448,0.32499999999999996,0.5153846153846154,0.5344827586206896,0.1,"False","Yellow","True",0.55,"Bug",,"True",0.99,29.5,45,"four_wings","cluster_2"
"Pidgey","Normal","Flying",0.2183333333333333,0.3355704697986577,0.32500000000000007,0.3172413793103448,0.26071428571428573,0.20384615384615384,0.41655172413793107,0.1,"False","Brown","True",0.55,"Flying",,"False",0.3,1.8,255,"two_wings","cluster_1"
"Pidgeotto","Normal","Flying",0.3816666666666666,0.47449664429530203,0.40937500000000004,0.41034482758620683,0.3571428571428571,0.3076923076923077,0.5096551724137931,0.1,"False","Brown","True",0.55,"Flying",,"False",1.09,30.0,120,"two_wings","cluster_2"
"Pidgeot","Normal","Flying",0.5983333333333333,0.5953020134228187,0.5218750000000001,0.5344827586206896,0.48571428571428577,0.4461538461538461,0.6958620689655173,0.1,"False","Brown","True",0.55,"Flying",,"True",1.5,39.5,45,"two_wings","cluster_2"
"Rattata","Normal",,0.22166666666666665,0.2751677852348993,0.3868750000000001,0.28620689655172415,0.19642857142857142,0.20384615384615384,0.5158620689655172,0.1,"False","Purple","True",0.55,"Field",,"False",0.3,3.5,255,"quadruped","cluster_1"
"Raticate","Normal",,0.4883333333333333,0.4261744966442953,0.5275000000000001,0.4413793103448276,0.3571428571428571,0.4461538461538461,0.6710344827586207,0.1,"False","Brown","True",0.55,"Field",,"False",0.71,18.5,127,"quadruped","cluster_2"
